"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1126 70097.874454 70097.874454 70145.384454 70145.384454
1140 70097.870418 70097.870418 70145.380418 70145.380418
266601 -nan -nan -nan -nan
266602 -nan -nan -nan -nan
266603 -nan -nan -nan -nan
266604 -nan -nan -nan -nan
266605 -nan -nan -nan -nan
266606 -nan -nan -nan -nan
266607 -nan -nan -nan -nan
266608 -nan -nan -nan -nan
266609 -nan -nan -nan -nan
266610 -nan -nan -nan -nan
266611 -nan -nan -nan -nan
266612 -nan -nan -nan -nan
266613 -nan -nan -nan -nan
266614 123.500000 123.500000 171.010000 171.010000
266657 -nan -nan -nan -nan
266658 -nan -nan -nan -nan
266659 -nan -nan -nan -nan
266660 -nan -nan -nan -nan
266661 -nan -nan -nan -nan
266662 -nan -nan -nan -nan
266663 -nan -nan -nan -nan
266664 -nan -nan -nan -nan
266665 -nan -nan -nan -nan
266666 -nan -nan -nan -nan
266667 -nan -nan -nan -nan
266668 -nan -nan -nan -nan
266669 -nan -nan -nan -nan
266670 123.500000 123.500000 171.010000 171.010000
267007 -nan -nan -nan -nan
267008 -nan -nan -nan -nan
267009 -nan -nan -nan -nan
267010 -nan -nan -nan -nan
267011 -nan -nan -nan -nan
267012 -nan -nan -nan -nan
267013 -nan -nan -nan -nan
267014 -nan -nan -nan -nan
267015 -nan -nan -nan -nan
267016 -nan -nan -nan -nan
267017 -nan -nan -nan -nan
267018 -nan -nan -nan -nan
267019 -nan -nan -nan -nan
267020 123.500000 123.500000 171.010000 171.010000
267301 123.499789 123.499789 171.009789 171.009789
267308 123.499747 123.499747 171.009747 171.009747
267310 123.499611 123.499611 171.009611 171.009611
269301 -nan -nan -nan -nan
269302 -nan -nan -nan -nan
269303 -nan -nan -nan -nan
269304 -nan -nan -nan -nan
269305 -nan -nan -nan -nan
269306 -nan -nan -nan -nan
269307 -nan -nan -nan -nan
269308 -nan -nan -nan -nan
269309 -nan -nan -nan -nan
269310 -nan -nan -nan -nan
269311 -nan -nan -nan -nan
269312 -nan -nan -nan -nan
269313 -nan -nan -nan -nan
269314 123.500000 123.500000 171.010000 171.010000
269357 -nan -nan -nan -nan
269358 -nan -nan -nan -nan
269359 -nan -nan -nan -nan
269360 -nan -nan -nan -nan
269361 -nan -nan -nan -nan
269362 -nan -nan -nan -nan
269363 -nan -nan -nan -nan
